Date de paiement;Code paiement;Numero de dossier;Numero de dossier interne;Numero de facture;Montant du soutien
19/01/2026;4400000146-20260119;25077865;;20251204-90517;25,0000;
19/01/2026;4400000146-20260119;25077927;;20251205-90528;25,0000;
19/01/2026;4400000146-20260119;25078181;;20251219-90668;25,0000;
19/01/2026;4400000146-20260119;25078277;;20251129-90476;25,0000;
19/01/2026;4400000146-20260119;25078302;;20251216-90630;25,0000;
19/01/2026;4400000146-20260119;25078354;;20251204-90518;25,0000;
19/01/2026;4400000146-20260119;25078389;;20251203-90507;25,0000;
19/01/2026;4400000146-20260119;25078432;;20251208-90559;25,0000;
19/01/2026;4400000146-20260119;25078813;;20251119-90369;25,0000;
19/01/2026;4400000146-20260119;25078836;;20251217-90653;25,0000;
19/01/2026;4400000146-20260119;25078873;;20251205-90533;25,0000;
19/01/2026;4400000146-20260119;25078896;;20251210-90572;25,0000;
